EMPRESA;ID_INTERNO;ID_CLIENTE;NIT_CEDULA;NOMBRE_FACTURACION;CODIGO_SIC;TIPO_CLIENTE;GRUPO_CLIENTE;DIRECCION_CORRESPONDENCIA;CIUDAD_CORRESPONDENCIA;DIRECCION_FRONTERA;MUNICIPIO;DEPARTAMENTO;NOMBRE_SUCURSAL;ESTRATO;CLIENTES_INTERNO;FACTURABLE;ID_INTERNO_PADRE;NOMBRE_PADRE;MERCADO;ESTADO;FECHA_ESTADO;ESTADO_OPERATIVO;FECHA_INSCRIPCION;ASESOR;NIVEL_TENSION;OPERADOR_RED;NUMERO_CIRCUITO;GRUPO_CIRCUITO;TIPO_RED;NIVEL_CONEXION;DUEÑO_RED;CODIGO_CIIU;ACTIVIDAD_ECONOMICA;CODIGO_NIU;DEMANDA_MINIMA;DEMANDA_PROMEDIO;SUB_MERCADO;CONTRIBUCION;MAXIMA_TRANSFERENCIA;SERIE_MEDIDOR;SIGLA_MEDIDOR;MARCA_MEDIDOR;TIPO_COMUNICACION;CONDICION_COMUNICACION;TIPO_CONMUTACION;CANAL_COMUNICACION;TELEFONO_IP;SERIE_TRAFO;MULTIPLO;APLICA_MULTIPLO;DIGITOS;DECIMALES;KWH_FACTURA_PROMEDIO;KWH_ULTIMA_FACTURA;PESOS_ULTIMA_FACTURA;CONSECUTIVO OFERTA;CONSUMO PROMEDIO;ORDEN RUTA;ORDEN REPARTO;ORDEN IMPRESION
EXEC;1032;1032;801200365;PRUEBA EMPSII;Frt38730R;FRONTERA;NO REGULADO;;; ADL    ;CALI;VALLE;ENEL COLOMBIA;2;N;S;;N/A;NO REGULADO;EN REGISTRO;28/09/2022;;;;3;CODENSA-EEC;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;123456;0;;COMERCIAL;SI;;SERIE003;;ABB;0;;;;;;1;S;1;2;;;;;;;;
EXEC;1033;1033;805987001;PRUEBA EMPSII;Frt38731R;FRONTERA;NO REGULADO; CL 2 C    1   ;; ADL    ;CALI;VALLE;ENEL COLOMBIA;2;N;S;1037;N/A;REGULADO;RETIRADO;01/07/2022;;;GERMÁN	BOHÓRQUEZ;4;CODENSA-EEC;1;2;SUBTERRANEA;;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;3423453;;;INDUSTRIAL;SI;;75457867888;;LANDYS;0;;;;;;5;N;4;;;;;1;567;;;
EXEC;1037;1037;800101323;EMPSII PRUEBA 100% OR;FRT123456;FRONTERA;NO APLICA;CARRERA 45 N 24-54;;CALLE 45 N° 67-86;BUCARAMANGA;SANTANDER;ENEL COLOMBIA;;N;S;;N/A;REGULADO;RETIRADO;01/06/2022;VISITA TECNICA;;NATALIA	LEMA;1;CODENSA-EEC;1;2;AEREA;NIVEL 1-2;100% OPERADOR;130;PROPAGACIÓN DE PLANTAS ACTIVIDADES DE LOS VIVEROS EXCEPTO VIVEROS FORESTALES;123456;0;;COMERCIAL;SI;;SERIE100%OR;;ABB;0;;;;;;1;S;1;2;0;340060.897;4500;2;123;;;
EXEC;1038;1038;800101323;EMPSII PRUEBA 100%USUARIO;FRT123457;FRONTERA;NO APLICA;CALLE 4#5-107;;CALLE 8 #5-.108;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;;N;S;;N/A;REGULADO;RETIRADO;01/01/2022;VISITA TECNICA;;NATALIA	LEMA;1;CODENSA-EEC;1;0;AEREA;NIVEL 1-2;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;1234;0;;COMERCIAL;SI;;SERIE100%USUARIO;;ABB;0;;;;;;1;S;1;2;0;330273.023;323960620;3;123;;;
EXEC;1041;1041;802024363;EMPSII PRUEBA NT2;FRT123458;FRONTERA;NO APLICA;CALLE 8#5-2;;CARRERA 6 #6-12;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;;N;S;;N/A;REGULADO;EN CONTACTO;01/01/2022;SUSPENSION POR SOLICITUD DEL USUARIO;;GERMÁN	BOHÓRQUEZ;2;CODENSA-EEC;0;0;AEREA;NIVEL 1-2;100% USUARIO;111;CULTIVO DE CEREALES EXCEPTO ARROZ LEGUMBRES Y SEMILLAS OLEAGINOSAS ;1234;0;;COMERCIAL;SI;;SERIE NT2;;ABB;0;;;;;;1;S;1;2;0;1141056.933;965216070;4;123;;;
EXEC;1042;1042;802024363;EMPSII PRUEBA NT3;FRT123459;FRONTERA;NO APLICA;CARRERA5 #5-.1;;CALLE 8#5-13;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;;N;S;;N/A;REGULADO;EN CONTACTO;01/01/2022;VISITA TECNICA;;GERMÁN	BOHÓRQUEZ;3;CODENSA-EEC;0;0;AEREA;NIVEL 1-3;100% USUARIO;112;CULTIVO DE ARROZ ;1234;0;;COMERCIAL;SI;;SERIE NT3;;ABB;0;;;;;;1;S;1;2;0;1014202.74;774395500;5;123;;;
EXEC;1043;1043;802024363;PRUEBA CAPACITACION;FRT00001;FRONTERA;NO APLICA; ADL 1 A  DAFASDFASDF;; AV 1 A NORTE  CL 70 R;CALI;VALLE;ENEL COLOMBIA;0;N;N;1033;N/A;REGULADO;EN CONTACTO;01/06/2022;ACTIVO;;GERMÁN	BOHÓRQUEZ;2;CODENSA-EEC;0;0;SUBTERRANEA;;100% USUARIO;1313;ACABADO DE PRODUCTOS TEXTILES ;1043;;;INDUSTRIAL;NO;;;;;0;;;;;;;;;;;;;6;;;;
EXEC;1048;1048;800047359;INR INVERSIONES REINOSO Y CIA LTDA;Frt46952;FRONTERA;NO APLICA; CR 13 A    7     54  INTERIOR   3   ;; CR 13 A    7     54  INTERIOR   3   ;MOSQUERA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;25/08/2022;ACTIVO;;ANDREA SAENZ;2;CODENSA-EEC;12;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2930;FABRICACIÓN DE PARTES PIEZAS UTOPARTES Y ACCESORIOS LUJOS PARA VEHÍCULOS AUTOMOTORES;3601975;0;;INDUSTRIAL;NO;;10070590;;METCOM;0;;;;;;760;S;5;3;42332.456;44467.6;22779670;7;;;;
EXEC;1049;1049;800047359;INR INVERSIONES REINOSO Y CIA LTDA;Frt46958;FRONTERA;NO APLICA; CR 13 A    7     54  INTERIOR   1   ;; CR 13 A    7     54  INTERIOR   1   ;MOSQUERA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/09/2022;;05/08/2022;ANDREA SAENZ;1;CODENSA-EEC;12;4;AEREA;NIVEL 1-3;100% OPERADOR;2930;FABRICACIÓN DE PARTES PIEZAS UTOPARTES Y ACCESORIOS LUJOS PARA VEHÍCULOS AUTOMOTORES;2529712;0;;INDUSTRIAL;NO;;22021031;;MICROSTAR;0;;;;;;1;S;5;3;1541.93;1486.075;1012350;8;;;;
EXEC;1050;1050;800047359;INR INVERSIONES REINOSO Y CIA LTDA;Frt46959;FRONTERA;NO APLICA; CR 13 A    7     54   ;; CR 13 A    7     54  INTERIOR   2   ;MOSQUERA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/09/2022;;05/08/2022;ANDREA SAENZ;1;CODENSA-EEC;12;4;AEREA;NIVEL 1-3;100% OPERADOR;2930;FABRICACIÓN DE PARTES PIEZAS UTOPARTES Y ACCESORIOS LUJOS PARA VEHÍCULOS AUTOMOTORES;2497156;0;;INDUSTRIAL;NO;;21111032;;MICROSTAR;0;;;;;;1;S;5;3;820.692;803.13;556620;11;;;;
EXEC;1051;1051;860001576;MARCALI SA SEDE 1;Frt07392;FRONTERA;NO APLICA; CR 13    CL 34     76   ;; CR 13    CL 34     76   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;CONTACTO;25/08/2022;ANDREA SAENZ;1;CODENSA-EEC;9;4;SUBTERRANEA;NIVEL 1-3;100% USUARIO;4511;COMERCIO DE VEHÍCULOS AUTOMOTORES NUEVOS;425903;0;;COMERCIAL;SI;;2924242;;ELSTER;0;;;;;;120;S;5;3;8898.552;26876.125;20125200;9;;;;
EXEC;1052;1052;860001576;MARCALI SA SEDE 2;Frt07361;FRONTERA;NO APLICA; CR 13    CL 34     76   ;; CR 13    CL 34     76   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;;25/08/2022;ANDREA SAENZ;1;CODENSA-EEC;8;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;4511;COMERCIO DE VEHÍCULOS AUTOMOTORES NUEVOS;425775;0;;COMERCIAL;SI;;2924235;;ELSTER;0;;;;;;120;S;5;3;11577.18;38252.646;27844940;10;;;;
EXEC;1053;1053;901014446;COLD LINE SAS;Frt47240;FRONTERA;NO APLICA; CL 17     69     85   ;; CL 17     69     85   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/09/2022;OFERTA;25/08/2022;ANDREA SAENZ;2;CODENSA-EEC;12;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2819;FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA Y EQUIPO DE USO GENERAL NCP;2775028;0;;INDUSTRIAL;NO;;10070589;;METCOM;0;;;;;;570;S;5;3;33536.808;43309.17;26467060;12;35140;;;
EXEC;1062;1062;901408937;FUNDICIONES GANIMEDES SAS PLANTA BOGOTA;Frt39821;FRONTERA;NO APLICA; CR 123    CL 14     37   ;; CR 123    CL 14     37   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;;25/08/2022;ANDREA SAENZ;2;CODENSA-EEC;11;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2431;FUNDICIÓN DE HIERRO Y DE ACERO;2382061;0;;INDUSTRIAL;NO;;2895168;;ELSTER;0;;;;;;2000;S;5;3;15366.1;51693.85;28209700;13;100132;;;
EXEC;1066;1066;900746884;CEBARTE SAS;Frt47174;FRONTERA;NO APLICA; CL 11     37     58    BG 3   ;; CL 11     37     58    BG 3   ;ZIPAQUIRA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;15/09/2022;;25/08/2022;GISELL ORIANA PINTO MORENO;1;CODENSA-EEC;12;4;AEREA;NIVEL 1-3;100% USUARIO;144;CRÍA DE GANADO PORCINO;4707671;0;;INDUSTRIAL;NO;;22032003;;MICROSTAR;0;;;;;;1;S;5;3;12612.845;14622.026;9161450;14;16000;;;
EXEC;1069;1069;901156735;CARIBE FOOD GROUP S.A.S.;Frt47565;FRONTERA;NO APLICA;CL DEL ESPIRITU SANTO 29-200;;CL DEL ESPIRITU SANTO 29-200;CARTAGENA;BOLIVAR;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/11/2022;;25/08/2022;JUANITA CASAS;1;CARIBEMAR;12;0;AEREA;NIVEL 1-3;100% USUARIO;5611;EXPENDIO A LA MESA DE COMIDAS PREPARADAS ;1172339;0;;COMERCIAL;SI;;10070567;;METCOM;0;;;;;;60;S;5;3;12678.998;14091.017;12085140;22;12480;;;
EXEC;1072;1072;901383865;CENTRO COMERCIAL PASEO VILLA DEL RIO - PROPIEDAD HORIZONTAL ZONAS COMUNES;Frt42131;FRONTERA;NO APLICA; CR 63     57 G   SUR 46   ;; CR 63     57 G   SUR 46   ZONAS COMUNES;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;13/10/2022;;12/10/2022;ANDREA SAENZ;2;CODENSA-EEC;12;3;SUBTERRANEA;NIVEL 1-3;100% USUARIO;9499;ACTIVIDADES DE OTRAS ASOCIACIONES NCP ;7383159;0;;COMERCIAL;SI;;502035045;;CIRWATT;0;;;;;;1900;S;5;3;169201.333;198911;128097520;16;178980;;;
EXEC;1074;1074;811017548;ESTAMPADOS ESPECIALES  SAS SEDE 1;Frt28271;FRONTERA;NO APLICA; CL 54     46     95   ;; CL 54     46     95   ;ITAGUÍ;ANTIOQUIA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;27/10/2022;;12/10/2022;GISELL ORIANA PINTO MORENO;1;EPM-EADE;12;0;SUBTERRANEA;NIVEL 1-3;100% OPERADOR;1313;ACABADO DE PRODUCTOS TEXTILES ;75414695;0;;INDUSTRIAL;NO;;56793190;;LANDYS;0;;;;;;60;S;6;2;16383.254;17470.41;12582810;17;29000;;;
EXEC;1078;1078;830037833;PLASTICOS HERSON SAS;Frt33249;FRONTERA;NO APLICA;MP DE FUNZA VIA SIBERIA KM 2 - 5 PAR INDUSTRIAL GALICIA BG 4;;MP DE FUNZA VIA SIBERIA KM 2-5 PAR INDUSTRIAL GALICIA BG 4;FUNZA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;10/11/2022;;09/09/2022;ANDREA SAENZ;2;CODENSA-EEC;12;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2229;FABRICACIÓN DE ARTÍCULOS DE PLÁSTICO NCP;3231854;0;;INDUSTRIAL;NO;;59003352;;ITRON;0;;;;;;570;S;5;3;44511.842;34361.33;18150880;19;;;;
EXEC;1079;1079;900231017;SURTIPLAST CT SAS  SEDE 2;Frt49509;FRONTERA;NO APLICA; CL 35 SUR    69     27   ;; CL 35 SUR    69     27   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;;09/09/2022;GISELL ORIANA PINTO MORENO;2;CODENSA-EEC;24;4;AEREA;NIVEL 1-2;100% USUARIO;2229;FABRICACIÓN DE ARTÍCULOS DE PLÁSTICO NCP;1617832;0;;INDUSTRIAL;NO;;10005568;;METCOM;0;;;;;;950;S;5;3;2540.893;193874.1;102235190;31;215000;;;
EXEC;1080;1080;830102216;PROCESOS Y SERVICIOS SAS - SEDE PRADO VERANIEGO;Frt47739;FRONTERA;NO APLICA; CR 50     130     49   ;; CR 50     130     49   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;10/11/2022;;15/09/2022;ANDREA SAENZ;1;CODENSA-EEC;12;4;AEREA;NIVEL 1-3;100% OPERADOR;6201;ACTIVIDADES DE DESARROLLO DE SISTEMAS INFORMÁTICOS  PLANIFICACIÓN ANÁLISIS DISEÑO PROGRAMACIÓN PRUEBAS;723571;0;;COMERCIAL;SI;;22032002;;MICROSTAR;0;;;;;;1;S;5;3;11378.878;14230.148;11584080;20;;;;
EXEC;1081;1081;830102216;PROCESOS Y SERVICIOS SAS - SEDE MONTEVIDEO;Frt47740;FRONTERA;NO APLICA; AK 68 D    13     67   ;; AK 68 D    13     67   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;10/11/2022;;16/09/2022;ANDREA SAENZ;1;CODENSA-EEC;12;4;SUBTERRANEA;NIVEL 1-3;100% OPERADOR;6201;ACTIVIDADES DE DESARROLLO DE SISTEMAS INFORMÁTICOS  PLANIFICACIÓN ANÁLISIS DISEÑO PROGRAMACIÓN PRUEBAS;1593765;0;;COMERCIAL;SI;;22032001;;MICROSTAR;0;;;;;;1;S;5;3;2718.881;3826.905;3400720;21;;;;
EXEC;1082;1082;900411450;COLOMBIANA DE BOLSAS PLASTICAS SAS - COLBOPLAST SAS;Frt47683;FRONTERA;NO APLICA; CL 37 A SUR   68 I    59   ;; CL 37 A SUR   68 I    59   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;17/11/2022;;16/09/2022;ANDREA SAENZ;1;CODENSA-EEC;17;4;AEREA;NIVEL 1-3;100% OPERADOR;2221;FABRICACIÓN DE FORMAS BÁSICAS DE PLÁSTICO;1441968;0;;INDUSTRIAL;NO;;2924107;;ELSTER;0;;;;;;60;S;5;3;11476.805;8832.651;6143340;23;16210;;;
EXEC;1083;1083;901125888;PARQUE COMERCIAL Y RESIDENCIAL VICTORIA - PROPIEDAD HORIZONTAL ZONAS COMUNES 1;Frt47727;FRONTERA;NO APLICA; CR 14     09     48   ;; CR 14     09     48   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;17/11/2022;;16/09/2022;ANDREA SAENZ;1;CODENSA-EEC;18;4;SUBTERRANEA;NIVEL 1-3;100% OPERADOR;6820;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;6516465;0;;COMERCIAL;NO;;59046102;;LANDYS;0;;;;;;80;S;6;2;31792.74;35953.416;24040840;24;29920;;;
EXEC;1084;1084;901125888;PARQUE COMERCIAL Y RESIDENCIAL VICTORIA - PROPIEDAD HORIZONTAL ZONAS COMUNES 2;Frt47729;FRONTERA;NO APLICA; CR 14     09     48   ;; CR 14     09     48   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;17/11/2022;;16/09/2022;ANDREA SAENZ;1;CODENSA-EEC;18;4;SUBTERRANEA;NIVEL 1-3;100% OPERADOR;6820;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;6516466;0;;COMERCIAL;NO;;2924103;;ELSTER;0;;;;;;60;S;5;3;8849.365;9524.151;6888190;25;10260;;;
EXEC;1091;1091;830506392;MORANGO SAS;Frt49066;FRONTERA;NO APLICA; CR 69 B    17 A    75   ;; CR 69 B    17 A    75   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;24/11/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;CODENSA-EEC;21;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;1081;ELABORACIÓN DE PRODUCTOS DE PANADERÍA;7570517;0;;INDUSTRIAL;NO;;2918740;;ELSTER;0;;;;;;600;S;5;3;37503.053;51800.52;27129720;26;62000;;;
EXEC;1101;1101;901249695;PLAZA LA SERREZUELA SAS;Frt49114;FRONTERA;NO APLICA; CR 10     39     120   ;; CR 10     39     120   ;CARTAGENA;BOLIVAR;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;CARIBEMAR;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;6820;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA;1169569;0;;COMERCIAL;SI;;84350825;;ITRON;0;;;;;;330;S;5;3;67041.117;66982.344;42840080;27;62000;;;
EXEC;1132;1132;811017548;ESTAMPADOS ESPECIALES  SAS SEDE 2;Frt43950;FRONTERA;NO APLICA; CR 52 D    72 A    7   ;; CR 52 D    72 A    7   ;ITAGUÍ;ANTIOQUIA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;1;EPM-EADE;0;0;SUBTERRANEA;NIVEL 1-3;100% OPERADOR;1313;ACABADO DE PRODUCTOS TEXTILES ;775224217;0;;INDUSTRIAL;NO;;84440237;;ITRON;0;;;;;;60;S;5;3;16639.218;23423.88;16549640;28;19000;;;
EXEC;1135;1135;900687556;CAUCHOS LOS COMUNEROS SAS;Frt49115;FRONTERA;NO APLICA; AC 6     34     32   ;; AC 6     34     32   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;08/12/2022;;16/09/2022;ANDREA SAENZ;1;CODENSA-EEC;22;4;SUBTERRANEA;NIVEL 1-3;100% USUARIO;2219;FABRICACIÓN DE FORMAS BÁSICAS DE CAUCHO Y OTROS PRODUCTOS DE CAUCHO NCP;357217;0;;INDUSTRIAL;NO;;2924119;;ELSTER;0;;;;;;120;S;5;3;6438.855;13505.727;9247210;29;15960;;;
EXEC;1136;1136;800225290;PLASTICOS CALIDAD Y COMPAÑIA LIMITADA;Frt49440;FRONTERA;NO APLICA; CR 65     14     61   ;; CR 65     14     61   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;22/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;CODENSA-EEC;23;4;SUBTERRANEA;NIVEL 1-3;100% USUARIO;2229;FABRICACIÓN DE ARTÍCULOS DE PLÁSTICO NCP;0405015-4;0;;INDUSTRIAL;NO;;84383410;;ITRON;0;;;;;;1140;S;5;3;29085.846;76171.266;51580030;30;93000;;;
EXEC;1139;1139;830037946;PANAMERICANA LIBRERIA Y PAPELERIA SA -SEDE MANIZALEZ;Frt49573;FRONTERA;NO APLICA; SEC    ;; SEC     CENTRO COMERCIAL FUNDADORES;MANIZALES;CALDAS;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;29/12/2022;;16/09/2022;ANDREA SAENZ;2;CHEC;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;4761;COMERCIO AL POR MENOR DE LIBROS PERIÓDICOS MATERIALES Y ARTÍCULOS DE PAPELERÍA Y ESCRITORIO EN ESTABLECIMIENTOS ESPECIALIZADOS;588750007;0;;COMERCIAL;SI;;84339874;;ITRON;0;;;;;;440;S;5;3;2358.18;25659.876;18695890;32;18841;;;
EXEC;1143;1143;900341322;HOTEL HAMPTON BY HILTON USAQUEN;Frt28880;FRONTERA;NO APLICA; AK 7     118     50   ;; AK 7     118     50   ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;29/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;CODENSA-EEC;10;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;5511;ALOJAMIENTO EN HOTELES ;4571969;0;;ESPECIAL;NO;;83692681;;ITRON;0;;;;;;600;S;5;3;2406.72;27280.14;14210960;33;29800;;;
EXEC;1146;1146;900341322;HOTEL HAMPTON BY HILTON BUCARAMANGA;Frt29140;FRONTERA;NO APLICA; CR 33     46     7   ;; CR 33     46     7   ;BUCARAMANGA;SANTANDER;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;29/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;ESSA;26;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;5511;ALOJAMIENTO EN HOTELES ;153178;0;;COMERCIAL;NO;;83692653;;ITRON;0;;;;;;440;S;5;3;4636.896;41664.304;23653140;34;43000;;;
EXEC;1147;1147;900341322;HOTEL HAMPTON BY HILTON CALI;Frt29124;FRONTERA;NO APLICA; CR   OESTE   1 A    20   ;; CR 1  OESTE    A    20   ;CALI;VALLE;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;29/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;EMCALI;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;5511;ALOJAMIENTO EN HOTELES ;13452699;0;;COMERCIAL;NO;;83692745;;ITRON;0;;;;;;440;S;5;3;4671.304;42019.824;22816450;35;45000;;;
EXEC;1148;1148;900341322;HOTEL HAMPTON BY HILTON YOPAL;Frt28162;FRONTERA;NO APLICA; CL 30     28     64   ;; CL 30     28     64   ;YOPAL;CASANARE;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;29/12/2022;;16/09/2022;GISELL ORIANA PINTO MORENO;2;ENERCA;25;4;SUBTERRANEA;NIVEL 1-2;100% USUARIO;5511;ALOJAMIENTO EN HOTELES ;12526;0;;COMERCIAL;NO;;83910985;;ITRON;0;;;;;;440;S;5;3;4722.74;47843.84;30525380;36;43800;;;
EXEC;1156;1156;900351360;MAXTECH S.A.S.;Frt11775;FRONTERA;NO APLICA; CR 77 J    65     23 SUR  ;; CR 77 J    65 A    23 SUR  ;BOGOTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;01/01/2023;;16/09/2022;GISELL ORIANA PINTO MORENO;2;CODENSA-EEC;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;2229;FABRICACIÓN DE ARTÍCULOS DE PLÁSTICO NCP;2775431;0;;INDUSTRIAL;NO;;84170479;;ITRON;0;;;;;;684;S;6;2;0;23915.682;14033210;37;64000;;;
EXEC;1158;1158;900170958;PCC PROCESADORA COLOMBIANA DE CARNES S.A.S.;Frt43695;FRONTERA;NO APLICA; KM 2     5    BG 8     9;; KM 2     5    BG 8     9   ;COTA;CUNDINAMARCA;ENEL COLOMBIA;0;N;S;;N/A;REGULADO;CLIENTE;05/01/2023;;16/09/2022;GISELL ORIANA PINTO MORENO;2;CODENSA-EEC;0;0;SUBTERRANEA;NIVEL 1-2;100% USUARIO;1011;PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS;4167616;0;;INDUSTRIAL;NO;;21063102;;MICROSTAR;0;;;;;;570;S;6;2;0;91143.998;52304990;39;131000;;;
